archetype,size_class,strategy,lambda_intensity,demand_load,demand_cv,oee,distance_mult,resource_mult,renewable_share,zC,zD,zS,stage,company_id,config_id,design_seed,lhs_min_distance,archetype_name,ref_output,demand_fu_y,headcount_ref,ref_energy_kwh_fu,ref_material_kg_fu,ref_cost_eur_fu,ref_distance_km,ref_waste_kg_fu,fuel_share_ref,complexity_index,safety_reference,annual_growth_ref,nominal_capacity_fu_y,n_process_steps
RO-A1,medium,BASE,0.0,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A1-C00,RO-A1-C00-BASE-L000,0,,Automotive component supplier,180000.0,180000.0,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,230400.0,6.0
RO-A1,medium,ENERGY,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A1-C00,RO-A1-C00-ENERGY-L050,0,,Automotive component supplier,180000.0,180000.0,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,230400.0,6.0
RO-A1,medium,MAINT,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A1-C00,RO-A1-C00-MAINT-L050,0,,Automotive component supplier,180000.0,180000.0,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,230400.0,6.0
RO-A1,medium,CIRCULAR,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A1-C00,RO-A1-C00-CIRCULAR-L050,0,,Automotive component supplier,180000.0,180000.0,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,230400.0,6.0
RO-A1,medium,DIGITAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A1-C00,RO-A1-C00-DIGITAL-L050,0,,Automotive component supplier,180000.0,180000.0,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,230400.0,6.0
RO-A1,medium,SOCIAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A1-C00,RO-A1-C00-SOCIAL-L050,0,,Automotive component supplier,180000.0,180000.0,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,230400.0,6.0
RO-A1,medium,INTEGRATED,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A1-C00,RO-A1-C00-INTEGRATED-L050,0,,Automotive component supplier,180000.0,180000.0,140.0,5.5,8.0,78.0,420.0,0.18,0.12,0.72,0.42,0.022,230400.0,6.0
RO-A2,medium,BASE,0.0,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A2-C00,RO-A2-C00-BASE-L000,0,,Electrical/electromechanical and cable-assembly manufacturer,170000.0,170000.0,140.0,0.18,0.11,6.5,1100.0,0.014,0.02,0.55,0.28,0.02,217600.0,6.0
RO-A2,medium,ENERGY,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A2-C00,RO-A2-C00-ENERGY-L050,0,,Electrical/electromechanical and cable-assembly manufacturer,170000.0,170000.0,140.0,0.18,0.11,6.5,1100.0,0.014,0.02,0.55,0.28,0.02,217600.0,6.0
RO-A2,medium,MAINT,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A2-C00,RO-A2-C00-MAINT-L050,0,,Electrical/electromechanical and cable-assembly manufacturer,170000.0,170000.0,140.0,0.18,0.11,6.5,1100.0,0.014,0.02,0.55,0.28,0.02,217600.0,6.0
RO-A2,medium,CIRCULAR,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A2-C00,RO-A2-C00-CIRCULAR-L050,0,,Electrical/electromechanical and cable-assembly manufacturer,170000.0,170000.0,140.0,0.18,0.11,6.5,1100.0,0.014,0.02,0.55,0.28,0.02,217600.0,6.0
RO-A2,medium,DIGITAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A2-C00,RO-A2-C00-DIGITAL-L050,0,,Electrical/electromechanical and cable-assembly manufacturer,170000.0,170000.0,140.0,0.18,0.11,6.5,1100.0,0.014,0.02,0.55,0.28,0.02,217600.0,6.0
RO-A2,medium,SOCIAL,0.5,1.0,0.175,0.7250000000000001,1.125,1.0,0.375,0.5,0.6,0.675,ANCHOR,RO-A2-C00,RO-A2-C00-SOCIAL-L050,0,,Electrical/electromechanical and cable-assembly manufacturer,170000.0,170000.0,140.0,0.18,0.11,6.5,1100.0,0.014,0.02,0.55,0.28,0.02,217600.0,6.0
