variable_name,canonical_unit,variable_group,data_role,common_upload_variable,scenario_presence_count,user_input_allowed,formula_available,formula_type,min_value,max_value,base_example,base_source_system,scientific_note
analytics_supported_decisions,%,Technological,DERIVED_MRV,Yes,24,No,Yes,RATIO_PCT,0.0,100.0,66.66666666666666,v7_cam_causal_alignment,Derived from analytics-supported decisions/total decisions.
assets_connected,count,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,250.0,CH7_annual_KPI_alignment_patch,Updated to align Chapter 7 annualized MRV dataset with final KPI/VSM-C reconciled results.
assets_total,count,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,500.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
average_lead_time,days,Logistics,DERIVED_MRV,Yes,24,No,Yes,RATIO_DIV24,0.0,,0.354166667,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
average_lead_time_days,days,Logistics,COMPATIBILITY_ALIAS,Yes,24,No,Yes,ALIAS,0.0,,0.354166667,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
circularity_ratio,%,Circularity,DERIVED_MRV,Yes,24,No,Yes,RATIO_PCT,0.0,100.0,20.0,v7_cam_causal_alignment,Derived accounting identity: circular/total material.
community_incidents_count,count,Social,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,3.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
community_incidents_total,count,Social,DERIVED_MRV,Yes,24,No,Yes,SUM,0.0,,7.0,v7_cam_causal_alignment,Derived from incidents plus substantiated complaints.
contract_renewal_rate,fraction,Social,PRIMARY_MRV,Yes,24,Yes,No,,0.0,1.0,0.65,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
core_processes_total,count,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,24.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
cost_per_fu,EUR/FU,Economic,DERIVED_MRV,Yes,24,No,Yes,RATIO,,,17.3575,v7_cam_causal_alignment,Derived accounting identity: operating_cost/output.
customer_acceptance_index,index(0-100),Social,DERIVED_MRV,Yes,24,No,Yes,AVERAGE3_PCT,0.0,100.0,55.00000000000001,v7_cam_causal_alignment,Derived from sales/survey/renewal proxy.
customer_survey_score,fraction,Social,PRIMARY_MRV,Yes,24,Yes,No,,0.0,1.0,0.55,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
data_accuracy,fraction,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,1.0,0.85,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
data_completeness,fraction,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,1.0,0.92,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
data_consistency,fraction,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,1.0,0.88,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
data_quality_index,index(0-100),Technological,DERIVED_MRV,Yes,24,No,Yes,AVERAGE3_PCT,0.0,100.0,88.33333333333333,v7_cam_causal_alignment,"Derived from completeness, consistency and accuracy."
decisions_supported,count,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,40.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
decisions_supported_by_analytics,count,Technological,COMPATIBILITY_ALIAS,Yes,24,No,Yes,ALIAS,0.0,,40.0,v6_derived_recalculation,v6 causal-alignment: scenario value set/recomputed to preserve causal consistency with module outputs and DSS KPI formulas.
decisions_total,count,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,60.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
deliveries_total,count,Other,COMPATIBILITY_ALIAS,Yes,24,No,Yes,ALIAS,0.0,,120.0,Final compatibility alias,Alias for service_level formula.
demand_qty_total,t,DES native,NATIVE_MODEL_OUTPUT,No,9,No,No,,0.0,,,,
des_demand_t,t,DES native,NATIVE_MODEL_OUTPUT,No,9,No,No,,0.0,,,,
des_native_lead_time_days,days,DES native,NATIVE_MODEL_OUTPUT,No,9,No,No,,0.0,,,,
des_native_service_level_pct,%,DES native,NATIVE_MODEL_OUTPUT,No,9,No,No,,0.0,100.0,,,
des_transport_cost_eur,EUR,DES native,NATIVE_MODEL_OUTPUT,No,9,No,No,,0.0,,,,
diesel_kwh,kWh,Energy,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,500000.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
diesel_liters,L,Energy,DERIVED_MRV,Yes,24,No,Yes,DIVIDE_CONSTANT,0.0,,46728.97196,Final 100% KPI compatibility layer,Compatibility alias added for KPI engine naming variations: diesel_liters.
digital_processes,count,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,18.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
digital_processes_count,count,Technological,COMPATIBILITY_ALIAS,Yes,24,No,Yes,ALIAS,0.0,,18.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
digitalization_rate,%,Technological,DERIVED_MRV,Yes,24,No,Yes,RATIO_PCT,0.0,100.0,75.0,v7_cam_causal_alignment,Derived from digital processes/core processes.
distance_total_km,km,DES native,NATIVE_MODEL_OUTPUT,No,9,No,No,,,,,,
dpp_coverage,%,Technological,DERIVED_MRV,Yes,24,No,Yes,RATIO_PCT,0.0,100.0,80.0,v7_cam_causal_alignment,Derived from DPP volume/shipped volume.
dpp_valid_volume,FU,Technological,DERIVED_MRV,Yes,24,No,Yes,MIN2,0.0,,230400.0,v6_base_canonical,v6: valid DPP volume computed as capped coverage times shipped volume.
dpp_volume,FU,Technological,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,230400.0,v6_base_canonical,v6: DPP volume computed as capped coverage times shipped volume.
electricity_cost_eur,EUR,Energy,DERIVED_MRV,Yes,24,No,Yes,MULTIPLY_CONSTANT,0.0,,400000.0,Derived from MILP workbook,electricity_kwh × 0.4 EUR/kWh proxy.
electricity_kwh,kWh,Energy,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,1000000.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
employees_avg,count,Social,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,1200.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
employees_health_checks,count,Social,PRIMARY_MRV,Yes,24,Yes,No,,0.0,,800.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
employees_total,count,Social,COMPATIBILITY_ALIAS,Yes,24,No,Yes,ALIAS,0.0,,1200.0,v6_base_canonical,v6 canonical BASE value aligned with thesis MRV boundary and DSS formula logic.
