archetype,strategy,WSM_win_pct,TOPSIS_win_pct
RO-A1,CIRCULAR,0.0,0.0
RO-A1,DIGITAL,0.0,0.0
RO-A1,ENERGY,0.0,0.0
RO-A1,INTEGRATED,100.0,100.0
RO-A1,MAINT,0.0,0.0
RO-A1,SOCIAL,0.0,0.0
RO-A2,CIRCULAR,0.0,0.0
RO-A2,DIGITAL,0.0,0.0
RO-A2,ENERGY,0.0,0.0
RO-A2,INTEGRATED,100.0,100.0
RO-A2,MAINT,0.0,0.0
RO-A2,SOCIAL,0.0,0.0
RO-A3,CIRCULAR,0.0,0.0
RO-A3,DIGITAL,0.0,0.0
RO-A3,ENERGY,0.0,0.0
RO-A3,INTEGRATED,100.0,100.0
RO-A3,MAINT,0.0,0.0
RO-A3,SOCIAL,0.0,0.0
RO-A4,CIRCULAR,0.0,0.0
RO-A4,DIGITAL,0.0,0.0
RO-A4,ENERGY,0.0,0.0
RO-A4,INTEGRATED,100.0,100.0
RO-A4,MAINT,0.0,0.0
RO-A4,SOCIAL,0.0,0.0
RO-A5,CIRCULAR,0.0,0.0
RO-A5,DIGITAL,0.0,0.0
RO-A5,ENERGY,0.0,0.0
RO-A5,INTEGRATED,100.0,100.0
RO-A5,MAINT,0.0,0.0
RO-A5,SOCIAL,0.0,0.0
RO-A6,CIRCULAR,0.0,0.0
RO-A6,DIGITAL,0.0,0.0
RO-A6,ENERGY,0.0,0.0
RO-A6,INTEGRATED,100.0,100.0
RO-A6,MAINT,0.0,0.0
RO-A6,SOCIAL,0.0,0.0
RO-A7,CIRCULAR,0.0,0.0
RO-A7,DIGITAL,0.0,0.0
RO-A7,ENERGY,0.0,0.0
RO-A7,INTEGRATED,100.0,100.0
RO-A7,MAINT,0.0,0.0
RO-A7,SOCIAL,0.0,0.0
RO-A8,CIRCULAR,0.0,0.0
RO-A8,DIGITAL,0.0,0.0
RO-A8,ENERGY,0.0,0.0
RO-A8,INTEGRATED,100.0,100.0
RO-A8,MAINT,0.0,0.0
RO-A8,SOCIAL,0.0,0.0
