archetype,archetype_name,strategy,config_id,Environmental,Economic,Social,Technological,SUSTAIN_INDEX_ARITH,SUSTAIN_INDEX_GEOM
RO-A1,Automotive component supplier,BASE,RO-A1-C00-BASE-L000,49.31499995308642,47.94288000768562,63.82433760143465,51.21395757762428,53.074043784957745,52.725347709359255
RO-A1,Automotive component supplier,ENERGY,RO-A1-C00-ENERGY-L050,60.21407761250382,49.59892692841108,63.82433760143465,51.21395757762428,56.21282492999346,55.8967095329433
RO-A1,Automotive component supplier,MAINT,RO-A1-C00-MAINT-L050,50.93050017255933,51.66545224459789,64.5099257561428,52.125913434840605,54.80794790203515,54.53993289599313
RO-A1,Automotive component supplier,CIRCULAR,RO-A1-C00-CIRCULAR-L050,54.09594560209679,47.51991845298346,63.825791701662645,51.23242234242428,54.16851952479179,53.84499935476723
RO-A1,Automotive component supplier,DIGITAL,RO-A1-C00-DIGITAL-L050,49.98213597774125,50.13851466591268,63.89909960143465,61.51841833115646,56.38454214406126,56.023668533043036
RO-A1,Automotive component supplier,SOCIAL,RO-A1-C00-SOCIAL-L050,49.32760643849435,48.36448634222517,70.85839798488199,51.22318996002428,54.943420181406445,54.24611534437161
RO-A1,Automotive component supplier,INTEGRATED,RO-A1-C00-INTEGRATED-L050,62.7972363272553,53.661439167521394,69.67123608022227,59.647042896085665,61.444238617771155,61.173217024013574
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,BASE,RO-A2-C00-BASE-L000,49.36328816975309,48.05097649682546,63.84451561274076,51.6328411406855,53.2229053550012,52.8796996316428
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,ENERGY,RO-A2-C00-ENERGY-L050,60.838456761633815,49.70676928560044,63.84451561274076,51.6328411406855,56.505645700165125,56.19023344156691
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,MAINT,RO-A2-C00-MAINT-L050,50.96961362805933,51.752047350752704,64.52913840070805,52.51482136581816,54.94140518633456,54.67882318481412
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,CIRCULAR,RO-A2-C00-CIRCULAR-L050,54.149700044890125,47.6253298638391,63.84573503223575,51.6483258326855,54.31727269341262,54.001465748001515
