archetype,archetype_name,strategy,profile,Environmental,Economic,Social,Technological,GEOM,ARITH,WSM,WSM_rank,TOPSIS,TOPSIS_rank,priority_strategy
RO-A1,Automotive component supplier,CIRCULAR,NEUTRAL,54.09594560209679,47.51991845298346,63.825791701662645,51.23242234242428,53.84499935476723,54.16851952479179,54.1685195247918,6,22.79145948927191,6,INTEGRATED
RO-A1,Automotive component supplier,DIGITAL,NEUTRAL,49.98213597774125,50.13851466591268,63.89909960143465,61.51841833115646,56.023668533043036,56.38454214406126,56.38454214406126,2,42.43313672837975,3,INTEGRATED
RO-A1,Automotive component supplier,ENERGY,NEUTRAL,60.21407761250382,49.59892692841108,63.82433760143465,51.21395757762428,55.8967095329433,56.21282492999346,56.21282492999346,3,46.251709769607885,2,INTEGRATED
RO-A1,Automotive component supplier,INTEGRATED,NEUTRAL,62.7972363272553,53.661439167521394,69.67123608022227,59.647042896085665,61.173217024013574,61.444238617771155,61.44423861777116,1,89.43217605453714,1,INTEGRATED
RO-A1,Automotive component supplier,MAINT,NEUTRAL,50.93050017255933,51.66545224459789,64.5099257561428,52.125913434840605,54.53993289599313,54.80794790203515,54.80794790203515,5,23.315907215377308,5,INTEGRATED
RO-A1,Automotive component supplier,SOCIAL,NEUTRAL,49.32760643849435,48.36448634222517,70.85839798488199,51.22318996002428,54.24611534437161,54.943420181406445,54.94342018140645,4,24.757436924485653,4,INTEGRATED
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,CIRCULAR,NEUTRAL,54.149700044890125,47.6253298638391,63.84573503223575,51.6483258326855,54.001465748001515,54.31727269341262,54.31727269341262,6,22.661526692661145,6,INTEGRATED
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,DIGITAL,NEUTRAL,50.03042419440792,50.218695640580336,63.917305612740755,61.82662842482993,56.13366638165454,56.49826346813973,56.49826346813973,3,41.486932452309055,3,INTEGRATED
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,ENERGY,NEUTRAL,60.838456761633815,49.70676928560044,63.84451561274076,51.6328411406855,56.19023344156691,56.505645700165125,56.505645700165125,2,47.76139104784413,2,INTEGRATED
RO-A2,Electrical/electromechanical and cable-assembly manufacturer,INTEGRATED,NEUTRAL,63.27094686067799,53.73066582733771,69.6889470506481,59.95708705114331,61.39142948673458,61.66191169745178,61.66191169745177,1,89.58066731011466,1,INTEGRATED
