strategy,method,rank1_count,top2_count,mean_rank,median_rank,worst_rank,best_rank,mean_score
ENERGY,WSM,0,1,2.875,3.0,3,2,56.29125354086488
ENERGY,TOPSIS,0,8,2,2.0,2,2,46.413912801220306
MAINT,WSM,0,0,5,5.0,5,5,54.867865555384334
MAINT,TOPSIS,0,0,5.125,5.0,6,5,23.173675577464227
CIRCULAR,WSM,0,0,6,6.0,6,6,54.239857169547555
CIRCULAR,TOPSIS,0,0,5.875,6.0,6,5,22.820687787540763
DIGITAL,WSM,0,7,2.125,2.0,3,2,56.44149203984772
DIGITAL,TOPSIS,0,0,3,3.0,3,3,42.223559351620736
SOCIAL,WSM,0,0,4,4.0,4,4,55.008193990779596
SOCIAL,TOPSIS,0,0,4,4.0,4,4,24.750863367081223
INTEGRATED,WSM,8,8,1,1.0,1,1,61.516438194208845
INTEGRATED,TOPSIS,8,8,1,1.0,1,1,89.44783723856405
