variable_name,value,unit,timestamp,scenario_code
output_qty_fu,6000.0,FU,2025-11-01T00:00:00,BASE
electricity_kwh,1000000.0,kWh,2025-11-01T00:00:00,BASE
renewable_energy_kwh,250000.0,kWh,2025-11-01T00:00:00,BASE
diesel_kwh,500000.0,kWh,2025-11-01T00:00:00,BASE
water_withdrawn_m3,12000.0,m3,2025-11-01T00:00:00,BASE
waste_generated_t,800.0,t,2025-11-01T00:00:00,BASE
waste_recovered_t,520.0,t,2025-11-01T00:00:00,BASE
material_total_t,9000.0,t,2025-11-01T00:00:00,BASE
material_circular_t,1800.0,t,2025-11-01T00:00:00,BASE
operating_cost_eur,5000000.0,EUR,2025-11-01T00:00:00,BASE
fuel_cost_eur,600000.0,EUR,2025-11-01T00:00:00,BASE
electricity_cost_eur,400000.0,EUR,2025-11-01T00:00:00,BASE
maintenance_cost_eur,350000.0,EUR,2025-11-01T00:00:00,BASE
operating_hours_h,50000.0,h,2025-11-01T00:00:00,BASE
logistics_cost_eur,900000.0,EUR,2025-11-01T00:00:00,BASE
transport_work_tkm,45000000.0,tkm,2025-11-01T00:00:00,BASE
lti_count,3.0,count,2025-11-01T00:00:00,BASE
hours_worked_h,2500000.0,h,2025-11-01T00:00:00,BASE
training_hours_h,12000.0,h,2025-11-01T00:00:00,BASE
employees_avg,1200.0,count,2025-11-01T00:00:00,BASE
employees_total,1200.0,count,2025-11-01T00:00:00,BASE
suggestions_count,900.0,count,2025-11-01T00:00:00,BASE
community_incidents_count,2.0,count,2025-11-01T00:00:00,BASE
substantiated_complaints_count,4.0,count,2025-11-01T00:00:00,BASE
employees_health_checks,1050.0,count,2025-11-01T00:00:00,BASE
sustainable_sales_share,0.22,fraction,2025-11-01T00:00:00,BASE
customer_survey_score,0.68,fraction,2025-11-01T00:00:00,BASE
contract_renewal_rate,0.75,fraction,2025-11-01T00:00:00,BASE
digital_processes_count,18.0,count,2025-11-01T00:00:00,BASE
core_processes_total,24.0,count,2025-11-01T00:00:00,BASE
assets_connected,320.0,count,2025-11-01T00:00:00,BASE
assets_total,500.0,count,2025-11-01T00:00:00,BASE
mrv_points_active_valid,140.0,count,2025-11-01T00:00:00,BASE
mrv_points_required,200.0,count,2025-11-01T00:00:00,BASE
dpp_volume,4800.0,FU,2025-11-01T00:00:00,BASE
shipped_volume_total,6000.0,FU,2025-11-01T00:00:00,BASE
data_completeness,0.92,fraction,2025-11-01T00:00:00,BASE
data_consistency,0.88,fraction,2025-11-01T00:00:00,BASE
data_accuracy,0.85,fraction,2025-11-01T00:00:00,BASE
ot_it_integration_score,3.5,score,2025-11-01T00:00:00,BASE
decisions_supported,14.0,count,2025-11-01T00:00:00,BASE
decisions_total,20.0,count,2025-11-01T00:00:00,BASE
oee_availability,0.86,fraction,2025-11-01T00:00:00,BASE
oee_performance,0.9,fraction,2025-11-01T00:00:00,BASE
oee_quality,0.97,fraction,2025-11-01T00:00:00,BASE
investment_cost_eur,1200000.0,EUR,2025-11-01T00:00:00,BASE
incremental_benefits_eur,240000.0,EUR,2025-11-01T00:00:00,BASE
output_qty_fu,6000.0,FU,2025-11-01T00:00:00,ALT1
electricity_kwh,900000.0,kWh,2025-11-01T00:00:00,ALT1
renewable_energy_kwh,400000.0,kWh,2025-11-01T00:00:00,ALT1
diesel_kwh,400000.0,kWh,2025-11-01T00:00:00,ALT1
water_withdrawn_m3,12000.0,m3,2025-11-01T00:00:00,ALT1
waste_generated_t,800.0,t,2025-11-01T00:00:00,ALT1
waste_recovered_t,520.0,t,2025-11-01T00:00:00,ALT1
material_total_t,9000.0,t,2025-11-01T00:00:00,ALT1
material_circular_t,1800.0,t,2025-11-01T00:00:00,ALT1
operating_cost_eur,4800000.0,EUR,2025-11-01T00:00:00,ALT1
fuel_cost_eur,480000.0,EUR,2025-11-01T00:00:00,ALT1
electricity_cost_eur,360000.0,EUR,2025-11-01T00:00:00,ALT1
maintenance_cost_eur,350000.0,EUR,2025-11-01T00:00:00,ALT1
operating_hours_h,50000.0,h,2025-11-01T00:00:00,ALT1
logistics_cost_eur,900000.0,EUR,2025-11-01T00:00:00,ALT1
transport_work_tkm,45000000.0,tkm,2025-11-01T00:00:00,ALT1
lti_count,3.0,count,2025-11-01T00:00:00,ALT1
hours_worked_h,2500000.0,h,2025-11-01T00:00:00,ALT1
training_hours_h,12000.0,h,2025-11-01T00:00:00,ALT1
employees_avg,1200.0,count,2025-11-01T00:00:00,ALT1
employees_total,1200.0,count,2025-11-01T00:00:00,ALT1
suggestions_count,900.0,count,2025-11-01T00:00:00,ALT1
community_incidents_count,2.0,count,2025-11-01T00:00:00,ALT1
substantiated_complaints_count,4.0,count,2025-11-01T00:00:00,ALT1
employees_health_checks,1050.0,count,2025-11-01T00:00:00,ALT1
sustainable_sales_share,0.22,fraction,2025-11-01T00:00:00,ALT1
customer_survey_score,0.68,fraction,2025-11-01T00:00:00,ALT1
contract_renewal_rate,0.75,fraction,2025-11-01T00:00:00,ALT1
digital_processes_count,18.0,count,2025-11-01T00:00:00,ALT1
core_processes_total,24.0,count,2025-11-01T00:00:00,ALT1
assets_connected,320.0,count,2025-11-01T00:00:00,ALT1
assets_total,500.0,count,2025-11-01T00:00:00,ALT1
mrv_points_active_valid,140.0,count,2025-11-01T00:00:00,ALT1
mrv_points_required,200.0,count,2025-11-01T00:00:00,ALT1
dpp_volume,4800.0,FU,2025-11-01T00:00:00,ALT1
shipped_volume_total,6000.0,FU,2025-11-01T00:00:00,ALT1
data_completeness,0.92,fraction,2025-11-01T00:00:00,ALT1
data_consistency,0.88,fraction,2025-11-01T00:00:00,ALT1
data_accuracy,0.85,fraction,2025-11-01T00:00:00,ALT1
