scenario_code,WSM_score,TOPSIS_score,Rank_WSM,Rank_TOPSIS
VSMC_KAIZEN,65.53319178419933,68.26237336899264,1.0,1.0
SD_INTEGRATED_2035,56.47196985102741,37.64401315541326,2.0,15.0
SD_ENERGY_PUSH_2035,55.27708937190735,35.12166090202029,3.0,16.0
DES_INTEGRATED_2035,54.76707707847708,41.09908064094074,4.0,6.0
SOCIAL_PUSH,54.6388766810715,48.63113862339185,5.0,2.0
DES_MRV_PUSH_2035,54.6331485070485,41.00044545979337,6.0,7.0
DES_MRV_PUSH_2030,54.168862792762795,40.68124798786641,7.0,8.0
DES_MAINT_PUSH_2035,53.97243422133422,40.57837168618752,8.0,9.0
DES_BASE_2035,53.749219935619934,40.43425172359252,9.0,10.0
DES_BASE_2030,53.70457707847708,40.41149192061078,10.0,11.0
DES_INTEGRATED_2030,53.43939398319917,40.22397328771521,11.0,12.0
DES_MAINT_PUSH_2030,53.06439398319917,40.002461026377965,12.0,13.0
SD_CIRC_PUSH_2035,52.85017002793869,29.17804385583878,13.0,19.0
DES_BASE_2025,52.40993422133422,39.7087369689555,14.0,14.0
SD_MAINT_PUSH_2035,52.35462967587968,28.16737692646521,15.0,20.0
SD_MRV_PUSH_2035,52.34837967587968,28.160452621232313,16.0,21.0
SD_BAU_2035,52.11764396159396,27.887098763415626,17.0,22.0
SD_CO2_STRICT_2035,51.89889396159396,32.18484428587215,18.0,17.0
SD_CO2_LENIENT_2035,51.7179011044511,32.001832000490744,19.0,18.0
SD_REALITY_CHECK_2035,51.71216539016539,27.469340055613806,20.0,23.0
MILP_MIN_CO2,51.145545681505475,43.27321596141585,21.0,3.0
MILP_CO2CAP,51.100479340364494,43.229850062264234,22.0,4.0
MILP_MIN_COST,51.05191897939957,43.19159946753153,23.0,5.0
