scenario,dimension,Improved,Worse,Same,Mean delta (pts)
DES_BASE_2025,economic,1.0,0.0,7.0,6.25
DES_BASE_2025,environmental,1.0,1.0,7.0,0.0
DES_BASE_2025,social,0.0,0.0,6.0,0.0
DES_BASE_2025,technological,0.0,0.0,7.0,0.0
DES_BASE_2030,economic,3.0,0.0,5.0,12.723214285714285
DES_BASE_2030,environmental,1.0,1.0,7.0,0.0
DES_BASE_2030,social,0.0,0.0,6.0,0.0
DES_BASE_2030,technological,0.0,0.0,7.0,0.0
DES_BASE_2035,economic,3.0,0.0,5.0,12.946428571428571
DES_BASE_2035,environmental,1.0,1.0,7.0,0.0
DES_BASE_2035,social,0.0,0.0,6.0,0.0
DES_BASE_2035,technological,0.0,0.0,7.0,0.0
DES_INTEGRATED_2030,economic,3.0,0.0,5.0,9.522298809324742
DES_INTEGRATED_2030,environmental,1.0,1.0,7.0,0.0
DES_INTEGRATED_2030,social,0.0,0.0,6.0,0.0
DES_INTEGRATED_2030,technological,1.0,0.0,6.0,1.190476190476191
DES_INTEGRATED_2035,economic,3.0,0.0,5.0,14.285714285714285
DES_INTEGRATED_2035,environmental,1.0,1.0,7.0,0.0
DES_INTEGRATED_2035,social,0.0,0.0,6.0,0.0
DES_INTEGRATED_2035,technological,1.0,0.0,6.0,2.3809523809523796
DES_MAINT_PUSH_2030,economic,3.0,0.0,5.0,9.522298809324742
DES_MAINT_PUSH_2030,environmental,1.0,1.0,7.0,0.0
DES_MAINT_PUSH_2030,social,0.0,0.0,6.0,0.0
DES_MAINT_PUSH_2030,technological,0.0,0.0,7.0,0.0
DES_MAINT_PUSH_2035,economic,3.0,0.0,5.0,14.0625
DES_MAINT_PUSH_2035,environmental,1.0,1.0,7.0,0.0
DES_MAINT_PUSH_2035,social,0.0,0.0,6.0,0.0
DES_MAINT_PUSH_2035,technological,0.0,0.0,7.0,0.0
DES_MRV_PUSH_2030,economic,3.0,0.0,5.0,13.169642857142858
DES_MRV_PUSH_2030,environmental,1.0,1.0,7.0,0.0
DES_MRV_PUSH_2030,social,0.0,0.0,6.0,0.0
DES_MRV_PUSH_2030,technological,1.0,0.0,6.0,1.190476190476191
DES_MRV_PUSH_2035,economic,3.0,0.0,5.0,13.616071428571429
DES_MRV_PUSH_2035,environmental,1.0,1.0,7.0,0.0
DES_MRV_PUSH_2035,social,0.0,0.0,6.0,0.0
DES_MRV_PUSH_2035,technological,1.0,0.0,6.0,2.3809523809523796
MILP_CO2CAP,economic,2.0,0.0,6.0,0.7414326813419905
MILP_CO2CAP,environmental,4.0,0.0,5.0,2.08444109137014
MILP_CO2CAP,social,0.0,0.0,6.0,0.0
MILP_CO2CAP,technological,0.0,0.0,7.0,0.0
MILP_MIN_CO2,economic,2.0,0.0,6.0,0.8454919865690593
MILP_MIN_CO2,environmental,4.0,0.0,5.0,2.034191296783009
MILP_MIN_CO2,social,0.0,0.0,6.0,0.0
MILP_MIN_CO2,technological,0.0,0.0,7.0,0.0
MILP_MIN_COST,economic,2.0,0.0,6.0,0.6292592794568268
MILP_MIN_COST,environmental,4.0,0.0,5.0,2.138571513706222
MILP_MIN_COST,social,0.0,0.0,6.0,0.0
MILP_MIN_COST,technological,0.0,0.0,7.0,0.0
SD_BAU_2035,economic,2.0,1.0,5.0,3.74142857142857
SD_BAU_2035,environmental,3.0,3.0,3.0,-0.6186868686868673
SD_BAU_2035,social,0.0,0.0,6.0,0.0
SD_BAU_2035,technological,1.0,0.0,6.0,7.142857142857143
SD_CIRC_PUSH_2035,economic,2.0,1.0,5.0,3.74142857142857
SD_CIRC_PUSH_2035,environmental,3.0,3.0,3.0,2.047551981088755
SD_CIRC_PUSH_2035,social,0.0,0.0,6.0,0.0
SD_CIRC_PUSH_2035,technological,1.0,0.0,6.0,7.142857142857143
SD_CO2_LENIENT_2035,economic,1.0,1.0,6.0,-2.8203571428571452
SD_CO2_LENIENT_2035,environmental,3.0,3.0,3.0,-0.7853535353535316
SD_CO2_LENIENT_2035,social,0.0,0.0,6.0,0.0
SD_CO2_LENIENT_2035,technological,1.0,0.0,6.0,7.142857142857143
SD_CO2_STRICT_2035,economic,1.0,1.0,6.0,-2.50857142857143
SD_CO2_STRICT_2035,environmental,3.0,3.0,3.0,-0.4797979797979808
SD_CO2_STRICT_2035,social,0.0,0.0,6.0,0.0
SD_CO2_STRICT_2035,technological,1.0,0.0,6.0,7.142857142857143
SD_ENERGY_PUSH_2035,economic,2.0,1.0,5.0,3.4296428571428548
SD_ENERGY_PUSH_2035,environmental,4.0,2.0,3.0,10.371500590442762
SD_ENERGY_PUSH_2035,social,0.0,0.0,6.0,0.0
SD_ENERGY_PUSH_2035,technological,1.0,0.0,6.0,7.142857142857143
SD_INTEGRATED_2035,economic,2.0,1.0,5.0,4.3649999999999975
SD_INTEGRATED_2035,environmental,4.0,2.0,3.0,13.42848267383841
SD_INTEGRATED_2035,social,0.0,0.0,6.0,0.0
SD_INTEGRATED_2035,technological,1.0,0.0,6.0,7.142857142857143
SD_MAINT_PUSH_2035,economic,2.0,1.0,5.0,4.3649999999999975
SD_MAINT_PUSH_2035,environmental,3.0,3.0,3.0,-0.5631313131313157
SD_MAINT_PUSH_2035,social,0.0,0.0,6.0,0.0
SD_MAINT_PUSH_2035,technological,1.0,0.0,6.0,7.142857142857143
SD_MRV_PUSH_2035,economic,2.0,1.0,5.0,4.3649999999999975
SD_MRV_PUSH_2035,environmental,3.0,3.0,3.0,-0.5909090909090919
SD_MRV_PUSH_2035,social,0.0,0.0,6.0,0.0
SD_MRV_PUSH_2035,technological,1.0,0.0,6.0,7.142857142857143
SD_REALITY_CHECK_2035,economic,2.0,1.0,5.0,2.806071428571424
SD_REALITY_CHECK_2035,environmental,3.0,3.0,3.0,-0.9242424242424221
SD_REALITY_CHECK_2035,social,0.0,0.0,6.0,0.0
SD_REALITY_CHECK_2035,technological,1.0,0.0,6.0,7.142857142857143
SOCIAL_PUSH,economic,1.0,1.0,6.0,0.03705869245058846
SOCIAL_PUSH,environmental,0.0,0.0,9.0,0.0
SOCIAL_PUSH,social,5.0,0.0,1.0,18.559523809523807
SOCIAL_PUSH,technological,0.0,0.0,7.0,0.0
VSMC_KAIZEN,economic,5.0,1.0,2.0,18.275898827616164
VSMC_KAIZEN,environmental,8.0,0.0,1.0,31.58484778091908
VSMC_KAIZEN,social,1.0,0.0,5.0,2.9761904761904745
VSMC_KAIZEN,technological,4.0,0.0,3.0,4.37833594976452
