scenario,kpi_code,kpi_name,dimension,reference_score,scenario_score,delta_pts,reference_semaforo,scenario_semaforo,effect
DES_BASE_2025,E1,Total GHG emissions (Scope 1+2),environmental,50.0,100.0,50.0,Amber,Green,Improved
DES_BASE_2025,E2,Specific GHG emissions per FU,environmental,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,E3,Energy intensity,environmental,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,E4,Share of renewable energy,environmental,37.5,37.5,0.0,Red,Red,Same
DES_BASE_2025,E5,Waste generation intensity,environmental,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,E6,Waste recovery rate,environmental,18.181818181818183,18.181818181818183,0.0,Red,Red,Same
DES_BASE_2025,E7,Transport GHG emissions intensity,environmental,50.0,0.0,-50.0,Amber,Red,Worse
DES_BASE_2025,E8,Circularity ratio,environmental,11.11111111111111,11.11111111111111,0.0,Red,Red,Same
DES_BASE_2025,E9,Water consumption intensity,environmental,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,EC1,Total cost per FU,economic,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,EC2,Energy cost share,economic,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,EC3,Overall Equipment Effectiveness (OEE),economic,57.3657142857143,57.3657142857143,0.0,Amber,Amber,Same
DES_BASE_2025,EC4,Return on sustainability investments (ROSI),economic,0.0,0.0,0.0,Red,Red,Same
DES_BASE_2025,EC5,Maintenance cost per operating hour,economic,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,EC6,Logistics cost per tkm,economic,50.0,100.0,50.0,Amber,Green,Improved
DES_BASE_2025,EC7,Service level,economic,35.714285714285715,35.714285714285715,0.0,Red,Red,Same
DES_BASE_2025,EC8,Average lead time,economic,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,S1,LTIFR,social,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,S2,Training hours per employee,social,100.0,100.0,0.0,Green,Green,Same
DES_BASE_2025,S3,Suggestions per employee,social,64.28571428571429,64.28571428571429,0.0,Amber,Amber,Same
DES_BASE_2025,S4,Community incidents and complaints,social,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,S5,Health checks coverage,social,16.666666666666643,16.666666666666643,0.0,Red,Red,Same
DES_BASE_2025,S6,Customer acceptance index,social,30.000000000000014,30.000000000000014,0.0,Red,Red,Same
DES_BASE_2025,T1,Digitalization rate of core processes,technological,69.23076923076923,69.23076923076923,0.0,Amber,Amber,Same
DES_BASE_2025,T2,Assets connected to IoT,technological,42.857142857142854,42.857142857142854,0.0,Red,Red,Same
DES_BASE_2025,T3,MRV measurement coverage,technological,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2025,T4,DPP coverage,technological,80.0,80.0,0.0,Green,Green,Same
DES_BASE_2025,T5,Data quality index,technological,76.66666666666666,76.66666666666666,0.0,Amber,Amber,Same
DES_BASE_2025,T6,OT-IT integration level,technological,62.5,62.5,0.0,Amber,Amber,Same
DES_BASE_2025,T7,Decisions supported by analytics,technological,66.66666666666666,66.66666666666666,0.0,Amber,Amber,Same
DES_BASE_2030,E1,Total GHG emissions (Scope 1+2),environmental,50.0,100.0,50.0,Amber,Green,Improved
DES_BASE_2030,E2,Specific GHG emissions per FU,environmental,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2030,E3,Energy intensity,environmental,50.0,50.0,0.0,Amber,Amber,Same
DES_BASE_2030,E4,Share of renewable energy,environmental,37.5,37.5,0.0,Red,Red,Same
