scenario,Improved,Worse,Same,Missing,Mean delta (pts),Median delta (pts),Net score
DES_BASE_2025,2.0,1.0,27.0,0.0,1.6666666666666667,0.0,1.0
DES_BASE_2030,4.0,1.0,25.0,0.0,3.392857142857143,0.0,3.0
DES_BASE_2035,4.0,1.0,25.0,0.0,3.452380952380952,0.0,3.0
DES_INTEGRATED_2030,5.0,1.0,24.0,0.0,2.8170574602643756,0.0,4.0
DES_INTEGRATED_2035,5.0,1.0,24.0,0.0,4.365079365079365,0.0,4.0
DES_MAINT_PUSH_2030,4.0,1.0,25.0,0.0,2.539279682486598,0.0,3.0
DES_MAINT_PUSH_2035,4.0,1.0,25.0,0.0,3.75,0.0,3.0
DES_MRV_PUSH_2030,5.0,1.0,24.0,0.0,3.78968253968254,0.0,4.0
DES_MRV_PUSH_2035,5.0,1.0,24.0,0.0,4.186507936507936,0.0,4.0
MILP_CO2CAP,6.0,0.0,24.0,0.0,0.8230477091022393,0.0,6.0
MILP_MIN_CO2,6.0,0.0,24.0,0.0,0.8357219187866519,0.0,6.0
MILP_MIN_COST,6.0,0.0,24.0,0.0,0.809373928633687,0.0,6.0
SD_BAU_2035,6.0,4.0,20.0,0.0,2.4787748917748917,0.0,2.0
SD_CIRC_PUSH_2035,6.0,4.0,20.0,0.0,3.278646546707578,0.0,2.0
SD_CO2_LENIENT_2035,5.0,4.0,21.0,0.0,0.6789653679653684,0.0,1.0
SD_CO2_STRICT_2035,5.0,4.0,21.0,0.0,0.8537748917748912,0.0,1.0
SD_ENERGY_PUSH_2035,7.0,3.0,20.0,0.0,5.692688272370924,0.0,4.0
SD_INTEGRATED_2035,7.0,3.0,20.0,0.0,6.859211468818189,0.0,4.0
SD_MAINT_PUSH_2035,6.0,4.0,20.0,0.0,2.6617272727272714,0.0,2.0
SD_MRV_PUSH_2035,6.0,4.0,20.0,0.0,2.653393939393938,0.0,2.0
SD_REALITY_CHECK_2035,6.0,4.0,20.0,0.0,2.137679653679653,0.0,2.0
SOCIAL_PUSH,6.0,1.0,23.0,0.0,3.721787079891585,0.0,5.0
VSMC_KAIZEN,18.0,1.0,11.0,0.0,15.965877171823186,7.371794871794865,17.0
