scenario_code,Amber,Green,Red
BASE,20,2,8
DES_BASE_2025,17,4,9
DES_BASE_2030,16,5,9
DES_BASE_2035,16,5,9
DES_INTEGRATED_2030,17,4,9
DES_INTEGRATED_2035,17,5,8
DES_MAINT_PUSH_2030,17,4,9
DES_MAINT_PUSH_2035,16,5,9
DES_MRV_PUSH_2030,16,5,9
DES_MRV_PUSH_2035,16,5,9
MILP_CO2CAP,20,2,8
MILP_MIN_CO2,20,2,8
MILP_MIN_COST,20,2,8
SD_BAU_2035,13,7,10
SD_CIRC_PUSH_2035,13,7,10
SD_CO2_LENIENT_2035,14,6,10
SD_CO2_STRICT_2035,14,6,10
SD_ENERGY_PUSH_2035,13,8,9
SD_INTEGRATED_2035,13,8,9
SD_MAINT_PUSH_2035,13,7,10
SD_MRV_PUSH_2035,13,7,10
SD_REALITY_CHECK_2035,14,6,10
SOCIAL_PUSH,17,4,9
VSMC_KAIZEN,10,12,8
