scenario_code,plant_code,x_ton,truck_class,trips
MILP_MIN_COST,BARIAY,70000.0,TR7.5,2400
MILP_MIN_COST,BARIAY,70000.0,TR15,3467
MILP_MIN_COST,LOS,64997.5,TR7.5,0
MILP_MIN_COST,LOS,64997.5,TR15,4334
MILP_MIN_COST,PILON,23002.5,TR7.5,3
MILP_MIN_COST,PILON,23002.5,TR15,1532
MILP_MIN_COST,RIO,65000.0,TR7.5,1
MILP_MIN_COST,RIO,65000.0,TR15,4333
MILP_MIN_COST,BUEN,65000.0,TR7.5,0
MILP_MIN_COST,BUEN,65000.0,TR15,4334
MILP_CO2CAP_940,BARIAY,70000.0,TR7.5,2400
MILP_CO2CAP_940,BARIAY,70000.0,TR15,3467
MILP_CO2CAP_940,LOS,43435.0,TR7.5,0
MILP_CO2CAP_940,LOS,43435.0,TR15,2897
MILP_CO2CAP_940,PILON,44565.0,TR7.5,0
MILP_CO2CAP_940,PILON,44565.0,TR15,2971
MILP_CO2CAP_940,RIO,65000.0,TR7.5,1
MILP_CO2CAP_940,RIO,65000.0,TR15,4333
MILP_CO2CAP_940,BUEN,65000.0,TR7.5,3
MILP_CO2CAP_940,BUEN,65000.0,TR15,4332
MILP_MIN_CO2,BARIAY,70000.0,TR7.5,2400
MILP_MIN_CO2,BARIAY,70000.0,TR15,3467
MILP_MIN_CO2,LOS,23000.0,TR7.5,0
MILP_MIN_CO2,LOS,23000.0,TR15,1534
MILP_MIN_CO2,PILON,65000.0,TR7.5,3
MILP_MIN_CO2,PILON,65000.0,TR15,4332
MILP_MIN_CO2,RIO,65000.0,TR7.5,1
MILP_MIN_CO2,RIO,65000.0,TR15,4333
MILP_MIN_CO2,BUEN,65000.0,TR7.5,0
MILP_MIN_CO2,BUEN,65000.0,TR15,4334
